blocker_id,current_repo_status,corrected_status,source_or_acquisition,exact_path_or_full_citation,line_or_page_range,scope_tag,runtime_claim_allowed,remaining_action,parent_blocker_id,child_source_id,accepted_runtime_claim,can_support_first_principles_acceptance,last_verified_commit
PF1000-BLK-009,blocked_sim_parameter,existing_kr_target_extraction_pending,Stepniewski simulation context plus Krauz bore existence plus external hardware confirmation,KnowledgeReference/doi-10-1016-j-vacuum-2004-05-019-f931cb0b.md;KnowledgeReference/experimental-study-of-the-structure-of-the-plasma-current-sheath-on-the-pf-1000-facility-705bcc83.md,310-314;373,pf1000_generic,false,complete hardware scope review or acquire external hardware paper,PF1000-BLK-009,stepniewski_2004_hollow_anode_bore,false,false,8e6b5e9
PF1000-CATHODE-CAGE-RADIUS,conflict_krauz_200mm_vs_akel_160mm,existing_kr_source_supported,three PF1000 hardware sources support 200 mm hardware cage radius,KnowledgeReference/experimental-study-of-the-structure-of-the-plasma-current-sheath-on-the-pf-1000-facility-705bcc83.md;KnowledgeReference/gribkov-2007-pf1000-jphysd-part2.md;KnowledgeReference/chunks/update-on-the-scientific-status-of-the-plasma-focus-1385adeb/pages-0026-0050.md,344-349;392-400;822-849,pf1000_full_energy,false,annotate runtime constructor with selected configuration,PF1000-CATHODE-CAGE-RADIUS,pf1000_cathode_cage_radius_200mm,false,false,8e6b5e9
PF1000-BLK-015,blocked_source_available_revision_not_mapped,existing_kr_source_supported,Scholz 2001 PF-1000 2001 24-rod insulator outer diameter source available but not runtime-mapped,KnowledgeReference/recent-progress-in-1-mj-plasma-focus-research-d3e51f6c.md,96-98,pf1000_2001_24_rod,false,add revision-specific geometry constructor or mapping before runtime mask promotion; keep wall thickness/backplate outreach separate,PF1000-BLK-015,scholz_2001_recent_progress_pf1000_hardware,false,false,8e6b5e9
PF1000-BLK-016,blocked_no_kr,absent_from_literature,IPPLM facility engineering drawings needed,none,n/a,absent,false,facility outreach or accept structural gap,PF1000-BLK-016,ipplm_facility_drawings,false,false,8e6b5e9
PF1000-BLK-017,blocked_no_kr,absent_from_literature,IPPLM facility engineering drawings needed,none,n/a,absent,false,facility outreach or accept structural gap,PF1000-BLK-017,ipplm_facility_drawings,false,false,8e6b5e9
PF1000-BLK-018,blocked_no_kr,absent_from_literature,IPPLM facility engineering drawings needed,none,n/a,absent,false,facility outreach or accept structural gap,PF1000-BLK-018,ipplm_facility_drawings,false,false,8e6b5e9
STARTUP-BVP-CH01,candidate_or_blocked,external_acquisition_required,start of shot gas and fill state source packet missing,none,n/a,pf1000_generic,false,compose from LXCat or operating point sources and keep fail closed,STARTUP-BVP-CH01,d2_fill_state,false,false,8e6b5e9
STARTUP-BVP-CH02,candidate_or_blocked,external_acquisition_required,Raizer 1991 or NIST LXCat Townsend and Paschen data,Raizer 1991 Gas Discharge Physics section 4;NIST LXCat Phelps Morgan Biagi datasets,section 4;dataset,external_candidate,false,acquire Raizer or ingest LXCat data,STARTUP-BVP-CH02,d2_townsend_paschen,false,false,8e6b5e9
STARTUP-BVP-CH03,target_extracted_kr_backed,source_backed_runtime_candidate,Bennett 2017 seed density and preionization context ingested as canonical KR markdown and target extracted,KnowledgeReference/bennett-2017-kinetic-dpf-breakdown.md,section II p062705-2,pf1000_generic,false,run numerical-fidelity and same-scope startup gates for the Bennett startup candidate; whole-shot startup remains blocked until every required startup channel is source-backed or explicitly excluded,STARTUP-BVP-CH03,bennett_2017_startup,false,false,bd5be3a
STARTUP-BVP-CH04,target_extracted_kr_backed,source_backed_runtime_candidate,Bennett 2017 flashover and breakdown context ingested as canonical KR markdown and target extracted,KnowledgeReference/bennett-2017-kinetic-dpf-breakdown.md,sections I-III p062705-2 to p062705-5,pf1000_generic,false,run numerical-fidelity and same-scope startup gates for the Bennett startup candidate; whole-shot startup remains blocked until every required startup channel is source-backed or explicitly excluded,STARTUP-BVP-CH04,bennett_2017_startup,false,false,bd5be3a
