item_id,domain,required_blocker_ids,required_source_packets,required_code_surfaces,required_test_gates,required_numerical_gates,required_comparator_gate,other_team_verification_required,codex_independent_verification_required,automated_repro_verification_required,current_state,accepted_physics_allowed,next_promotion_action
geometry_pf1000_hardware,geometry,PF1000-BLK-009;PF1000-CATHODE-CAGE-RADIUS;PF1000-BLK-015;PF1000-BLK-016;PF1000-BLK-017;PF1000-BLK-018,Stepniewski;Krauz;PF1000 facility drawings,src/dpf/first_principles/source_geometry.py;PF1000 deck builders,geometry mask tests;source scope tests,mesh resolution;mask reproducibility;signed distance checks,same scope geometry review,true,true,true,blocked_not_accepted,false,target extract local geometry and acquire facility drawings
startup_bvp,startup,STARTUP-BVP-CH01;STARTUP-BVP-CH02;STARTUP-BVP-CH03;STARTUP-BVP-CH04;STARTUP-BVP-CH05;STARTUP-BVP-CH06;STARTUP-BVP-CH07;STARTUP-BVP-CH08;STARTUP-BVP-CH09;STARTUP-BVP-CH10;STARTUP-BVP-CH11;STARTUP-BVP-CH12;STARTUP-BVP-CH13,Bennett 2017;UCSD Beg;LXCat or Raizer;surface emission sources,src/dpf/first_principles/startup_bvp.py;src/dpf/first_principles/startup_breakdown.py,startup packet tests;channel registry tests,breakdown delay convergence;handoff interval conservation,same scope startup observable review,true,true,true,blocked_not_accepted,false,promote Bennett and acquire D2 discharge and surface data
power_port,power_accounting,POWER-PORT-ACCEPTANCE,Bennett and circuit terminal evidence;Sigma surface packet,src/dpf/first_principles/power_port.py;src/dpf/first_principles/conservation.py,power port residual tests;no active load placeholder tests,time centered terminal power;Poynting or J dot E residual budget,same scope Vt or terminal power comparator,true,true,true,blocked_not_accepted,false,replace active load placeholder with accepted source backed operator
braginskii_transport,transport,CLOSURE-BLK-BRAG-001,Braginskii rendered OCR packet,src/dpf/first_principles/closure_packet.py;transport closure code,coefficient table tests;unit tests,dimensional checks;resistive heating energy residual,transport benchmark or source examples,true,true,true,blocked_not_accepted,false,render OCR Braginskii pages and wire direct coefficients
d2_atomic_molecular_kinetics,transport,STARTUP-BVP-CH10;CLOSURE-BLK-D2-EN-001;CLOSURE-BLK-ION-001,LXCat;Itikawa Mason;Voronov;Janev;Open ADAS,ionization recombination and electron neutral closure code,rate table tests;interpolation tests,stiff source stability;species conservation,source table benchmark,true,true,true,blocked_not_accepted,false,acquire molecular D2 transport and rate data
two_temperature_eos_radiation,closures,ELECTRON-ENERGY;EOS;RADIATION,EOS source packet;radiation packet;2T exchange packet,src/dpf/fluid/two_temperature.py;src/dpf/first_principles/dimensionality.py,2T coupling tests;EOS tests;radiation tests,energy exchange residual;temperature positivity;convergence,Te Ti and radiation comparator if claimed,true,true,true,blocked_not_accepted,false,replace scaffolded 2T and electron energy handoff with sourced closures
ablation_impurity_surfaces,closures,ABLATION;IMPURITY;SURFACE-MATERIALS,material surface packet;ablation source packet;impurity EOS packet,ablation impurity closure code,surface source tests;species source tests,mass and energy source residuals,impurity or x ray comparator if claimed,true,true,true,blocked_not_accepted,false,acquire surface material and ablation law sources
neutron_thermonuclear,neutron,THERMONUCLEAR-PAIR-PREFACTOR;NEUTRON-BLK-004,Bernard prefactor or Glasstone;Bosch Hale;Brysk,src/dpf/first_principles/neutron diagnostics and yield code,pair counting tests;Brysk spectrum tests,resolved field history yield integration,same scope spectrum or yield comparator,true,true,true,blocked_not_accepted,false,target extract prefactor and Brysk broadening before acceptance
neutron_beam_target,neutron,NEUTRON-BLK-001;NEUTRON-BLK-002;NEUTRON-BLK-003;NEUTRON-BLK-005,Scholz Gribkov;ICRU stopping;Schmidt PIC;Akel anisotropy if 16kV,beam target and fast ion transport code,stopping tests;distribution tests;anisotropy tests,particle transport convergence;energy loss residual,same scope anisotropy and spectrum comparator,true,true,true,blocked_not_accepted,false,target extract fast ion evidence and acquire stopping data
numerical_acceptance,numerics,NUMERICAL-CONVERGENCE;RESTART;BACKEND-PARITY;LIMITER-ZERO,method source packets and solver manifests,hybrid loop;restart;backend parity;limiter code,convergence tests;restart tests;backend tests,12 us segmented run;conservation residual;limiter zero proof,not a comparator but required before certificate,true,true,true,blocked_not_accepted,false,complete long run and reproducibility gates after source modules land
same_scope_certificate,validation,SAME-SCOPE-COMPARATOR-DECISION,scope decision memo;same scope measurement packets,certificate gate;comparator;UQ pipeline,certificate rejection tests;UQ tests,comparator residuals;uncertainty propagation,locked PF1000 full energy or Akel 16kV comparator,true,true,true,blocked_not_accepted,false,lock scope and assemble same scope comparator evidence
whole_shot_experimental,shot_assembly,ALL-ABOVE,all accepted module packets,first principles whole shot runner;deck builder;manifest exporter,end to end smoke;artifact integrity tests,selected duration run;restart reproducibility;residual ledger,engineering firm review dossier after certificate gate,true,true,true,blocked_not_accepted,false,assemble only after module acceptance and comparator scope lock
